Date,log_returns,QHL,oQHLp,QHLm
2014/10/1,-0.009893679,0.825680885,1.074061443,0.42617582
2014/10/2,-0.017092198,0.894288374,1.577808708,0.270725131
2014/10/3,0.012566547,0.836054629,1.714249274,-0.080590344
2014/10/6,0.00546002,0.606741033,1.101848102,0.031228606
2014/10/7,-0.010424905,0.37299828,1.473863864,-0.195151129
2014/10/8,-0.002055816,0.404311463,1.102342791,0.038513898
2014/10/9,-0.007803919,0.473174891,0.722355764,0.558396358
2014/10/10,-0.014388174,0.495888024,0.280990619,0.592640636
2014/10/13,0.004134992,0.464580075,0.522575964,0.169269893
2014/10/14,0.004144557,0.296785738,0.020671271,0.43751762
2014/10/15,-0.028728635,0.295803593,0.060877112,0.419012201
2014/10/16,-0.002535554,0.149067951,-0.106067899,0.431567949
2014/10/17,0.018292237,0.188490085,-0.188914168,0.543655011
2014/10/20,-0.006872693,0.171150391,-0.225456506,0.492987172
2014/10/21,0.016656239,0.264982013,-0.160751019,0.683546177
2014/10/22,0.004290622,0.449824884,0.106649196,0.863614111
2014/10/23,0.003029908,0.398370063,0.259381537,0.600666346
