,Date,Open,High,Low,Close,QPLp1,QPLp2,QPLp3,QPLp4,QPLp5,QPLp6,QPLp7,QPLp8,QPLp9,QPLp10,QPLp11,QPLp12,QPLp13,QPLp14,QPLp15,QPLp16,QPLp17,QPLp18,QPLp19,QPLp20,QPLp21,QPLn1,QPLn2,QPLn3,QPLn4,QPLn5,QPLn6,QPLn7,QPLn8,QPLn9,QPLn10,QPLn11,QPLn12,QPLn13,QPLn14,QPLn15,QPLn16,QPLn17,QPLn18,QPLn19,QPLn20,QPLn21,vol
459,2013/10/21,8828.47,8876.14,8827.23,8867.22,8849.514812,8898.776526,8959.747147,9028.130259,9102.51302,9182.015902,9266.027059,9354.091277,9445.854032,9541.029878,9639.383079,9740.715027,9844.85566,9951.6574,10060.99073,10172.74091,10286.80541,10403.09198,10521.51709,10642.00466,10764.48506,8807.475234,8758.718944,8699.11631,8633.225298,8562.677402,8488.53709,8411.575106,8332.384219,8251.438385,8169.126765,8085.774982,8001.659254,7917.016281,7832.050422,7746.939103,7661.836984,7576.879257,7492.18431,7407.855907,7323.985004,7240.65128,74.87
460,2013/10/22,8853.87,8987.63,8849.16,8947.46,8874.975359,8924.378802,8985.524839,9054.104693,9128.701457,9208.433073,9292.685935,9381.003519,9473.030281,9568.479952,9667.116121,9768.739607,9873.179858,9980.288873,10089.93677,10202.00845,10316.40112,10433.02226,10551.78808,10672.6223,10795.45509,8832.814831,8783.918267,8724.144152,8658.063568,8587.312702,8512.959084,8435.775676,8356.356953,8275.178233,8192.629798,8109.038207,8024.680474,7939.793977,7854.583668,7769.227479,7683.880516,7598.678361,7513.739742,7429.168721,7345.056517,7261.483037,100.45
461,2013/10/23,8906.91,8932.91,8897.5,8919.86,8928.141793,8977.841192,9039.353531,9108.344219,9183.387863,9263.597119,9348.354706,9437.201365,9529.779423,9625.800895,9725.027954,9827.260226,9932.326137,10040.0768,10150.38155,10263.12461,10378.20256,10495.52233,10614.99963,10736.55772,10860.12635,8885.728698,8836.539214,8776.407016,8709.93057,8638.755864,8563.956823,8486.31104,8406.416551,8324.751522,8241.708572,8157.616217,8072.75313,7987.358113,7901.637342,7815.769819,7729.911576,7644.199009,7558.751556,7473.673905,7389.057818,7304.983682,79.94
462,2013/10/24,8968.5,8987.04,8950.81,8980.63,8989.878607,9039.921671,9101.859359,9171.327107,9246.889667,9327.653559,9412.997233,9502.458253,9595.676475,9692.361922,9792.275122,9895.214315,10001.00674,10109.50248,10220.56997,10334.09264,10449.96634,10568.09736,10688.40083,10810.79947,10935.22256,8947.172232,8897.64261,8837.094607,8770.158485,8698.491616,8623.175351,8544.992659,8464.545711,8382.31598,8298.6988,8214.024958,8128.575056,8042.589544,7956.276026,7869.814741,7783.362801,7697.057544,7611.019235,7525.353283,7440.152088,7355.496592,76.69
463,2013/10/25,8952.78,9010.65,8944.14,8985.74,8974.121135,9024.076483,9085.905606,9155.251592,9230.681706,9311.304034,9396.498117,9485.802331,9578.857159,9675.373136,9775.111208,9877.869969,9983.476962,10091.78253,10202.65534,10315.97903,10431.64962,10549.57358,10669.66618,10791.85028,10916.05528,8931.489616,8882.046809,8821.604934,8754.786138,8683.244888,8608.060636,8530.014983,8449.709042,8367.623444,8284.152828,8199.627403,8114.327277,8028.492481,7942.330254,7856.020518,7769.720112,7683.56613,7597.678629,7512.162833,7427.110979,7342.603867,71.22
464,2013/10/28,9013.05,9017.95,8950.21,8978.65,9034.534803,9084.82645,9147.071806,9216.884628,9292.822536,9373.987613,9459.755222,9549.66063,9643.341902,9740.507623,9840.917131,9944.367663,10050.6856,10159.72028,10271.33949,10385.42607,10501.87535,10620.59317,10741.49424,10864.50088,10989.54203,8991.616289,8941.840634,8880.991866,8813.723246,8741.700381,8666.00999,8587.438935,8506.592375,8423.954177,8339.921639,8254.82719,8168.952824,8082.54019,7995.797919,7908.907148,7822.025768,7735.291799,7648.826104,7562.734617,7477.110194,7392.034182,61.43
465,2013/10/29,8965.75,9022.21,8965.75,9022.04,8987.122052,9037.149771,9099.068467,9168.514915,9244.054305,9324.793432,9410.110937,9499.544526,9592.734165,9689.389965,9789.272529,9892.180158,9997.940145,10106.40262,10217.43605,10330.92391,10446.76208,10564.85687,10685.12345,10807.48457,10931.8695,8944.428772,8894.914337,8834.3849,8767.469302,8695.824409,8620.531237,8542.372518,8461.950238,8379.74572,8296.15418,8211.506302,8126.082601,8040.123455,7953.836403,7867.40163,7780.976198,7694.697405,7608.685478,7523.045794,7437.870724,7353.241186,76.42
466,2013/10/30,9030.31,9070.17,8996.25,9010.27,9051.835947,9102.223902,9164.588458,9234.534971,9310.618301,9391.938809,9477.870663,9567.94824,9661.808912,9759.160706,9859.762497,9963.411137,10069.93267,10179.17616,10291.00911,10405.31417,10521.98646,10640.93162,10762.06421,10885.30641,11010.58701,9008.835244,8958.964268,8897.998974,8830.601535,8758.440746,8682.605408,8603.883889,8522.882508,8440.086058,8355.892597,8270.635192,8184.596377,8098.018262,8011.109881,7924.052713,7837.004955,7750.104891,7663.473614,7577.217261,7491.428868,7406.189935,69.97
467,2013/10/31,8985.48,9037.41,8976.37,9033.92,9006.899083,9057.036893,9119.091847,9188.691118,9264.396741,9345.313542,9430.818796,9520.449193,9613.843904,9710.712405,9810.81477,9913.948857,10019.94158,10128.64274,10239.92051,10353.65811,10469.75119,10588.10586,10708.6371,10831.26748,10955.92614,8964.111853,8914.488456,8853.825818,8786.762966,8714.960411,8639.50155,8561.170835,8480.571577,8398.186161,8314.41067,8229.576516,8143.964831,8057.816524,7971.33959,7884.714608,7798.098989,7711.630331,7625.429126,7539.600984,7454.238478,7369.422704,82.81
468,2013/11/1,9032.29,9048.1,8992.9,9007.83,9053.820666,9104.21967,9166.5979,9236.55975,9312.659762,9393.9981,9479.948796,9570.046123,9663.927376,9761.300514,9861.924364,9965.59573,10072.14062,10181.40806,10293.26554,10407.59565,10524.29352,10643.26477,10764.42392,10887.69314,11013.00121,9010.810535,8960.928624,8899.949963,8832.537747,8760.361135,8684.50917,8605.77039,8524.751249,8441.936645,8357.724724,8272.448625,8186.390945,8099.793847,8012.866409,7925.790153,7838.723309,7751.804191,7665.153919,7578.878654,7493.071451,7407.813828,54.23
469,2013/11/4,9035.91,9053.93,9019.31,9037.23,9057.449296,9107.868498,9170.271728,9240.261618,9316.39213,9397.763067,9483.74821,9573.881648,9667.800526,9765.21269,9865.876869,9969.589784,10076.17738,10185.48861,10297.39092,10411.76685,10528.5115,10647.53042,10768.73813,10892.05676,11017.41505,9014.421926,8964.520024,8903.516924,8836.077689,8763.872151,8687.989785,8609.219448,8528.167835,8445.32004,8361.074368,8275.764092,8189.671922,8103.040117,8016.07784,7928.966686,7841.864946,7754.910992,7668.225993,7581.916149,7496.074556,7410.782764,60.97
470,2013/11/5,9036.18,9041.97,8962.42,9009.11,9057.719939,9108.140648,9170.545743,9240.537724,9316.670511,9398.04388,9484.031592,9574.167723,9668.089407,9765.504483,9866.171669,9969.887683,10076.47846,10185.79296,10297.69861,10412.07797,10528.8261,10647.84858,10769.05991,10892.38222,11017.74426,9014.691284,8964.787891,8903.782968,8836.341718,8764.134022,8688.249389,8609.476698,8528.422664,8445.572393,8361.324204,8276.011378,8189.916635,8103.282242,8016.317367,7929.203609,7842.099267,7755.142715,7668.455125,7582.142703,7496.298545,7411.004203,87.09
471,2013/11/6,9030.47,9065.96,9021.84,9040.87,9051.996328,9102.385176,9164.750837,9234.69859,9310.783267,9392.105217,9478.038593,9568.117766,9661.980101,9759.333619,9859.937194,9963.58767,10070.11109,10179.35651,10291.19145,10405.49853,10522.17289,10641.12016,10762.25489,10885.49928,11010.7821,9008.994863,8959.123004,8898.15663,8830.757997,8758.595929,8682.759247,8604.036333,8523.033518,8440.235601,8356.040648,8270.781732,8184.741393,8098.161744,8011.251822,7924.193112,7837.143812,7750.242208,7663.609396,7577.351515,7491.561602,7406.321159,68.9
