Date,log_returns,Open,High,Low,Close
2013/8/13,0.003940509,3675.37,3691.06,3648.82,3684.44
2013/8/14,-0.004125814,3683.97,3686.55,3668.74,3669.27
2013/8/15,-0.01736033,3625.36,3626.77,3600.96,3606.12
2013/8/16,-0.000926632,3603.78,3621.46,3598.65,3602.78
2013/8/19,-0.003807081,3601.88,3623.48,3589.03,3589.09
2013/8/20,0.00680305,3596.77,3625.26,3593.14,3613.59
2013/8/21,-0.003826228,3603.68,3630.23,3589.02,3599.79
2013/8/22,0.010753713,3614.14,3639.21,3613.93,3638.71
2013/8/23,0.005229917,3659.21,3660.66,3643.86,3657.79
2013/8/26,-6.01E-05,3661.8,3684.22,3652.26,3657.57
2013/8/27,-0.021849685,3616.06,3629.95,3573.57,3578.52
2013/8/28,0.004135608,3579.11,3607.36,3578.8,3593.35
2013/8/29,0.00747198,3587.07,3635.84,3587.07,3620.3
2013/8/30,-0.008440905,3621.59,3621.78,3581.05,3589.87
2013/9/3,0.006314513,3622.64,3637.06,3593.62,3612.61
2013/9/4,0.010033616,3619.05,3651.78,3612.22,3649.04
2013/9/5,0.002665639,3652.44,3665.01,3651.17,3658.78
2013/9/6,0.000336121,3672.82,3677.07,3618.77,3660.01
2013/9/9,0.012535817,3675.12,3708.42,3675.12,3706.18
2013/9/10,0.006143768,3724.67,3729.38,3716.44,3729.02
2013/9/11,-0.001075928,3710.79,3726.59,3704.22,3725.01
2013/9/12,-0.002429789,3724.53,3731.84,3713.08,3715.97
2013/9/13,0.00166977,3723.27,3724.73,3701.88,3722.18
2013/9/16,-0.001163974,3755,3756.24,3712.47,3717.85
2013/9/17,0.007462971,3725.31,3747.08,3724.26,3745.7
2013/9/18,0.010077994,3751.29,3790.7,3737.69,3783.64
2013/9/19,0.001515908,3794.7,3798.16,3781.59,3789.38
2013/9/20,-0.00387356,3796.28,3798.76,3774.11,3774.73
2013/9/23,-0.002503973,3786.84,3787.14,3745.54,3765.29
2013/9/24,0.000785819,3771.6,3789.85,3753.04,3768.25
2013/9/25,-0.001899235,3772.59,3782.92,3754.94,3761.1
2013/9/26,0.006976221,3774.95,3795.72,3772.8,3787.43
2013/9/27,-0.001543133,3767.89,3788.35,3762.67,3781.59
2013/9/30,-0.002677059,3737.6,3780.97,3734.74,3771.48
2013/10/1,0.01225399,3774.18,3817.98,3774.18,3817.98
2013/10/2,-0.00077558,3793.11,3819.28,3788.45,3815.02
2013/10/3,-0.010720374,3809.9,3816.96,3753.17,3774.34
2013/10/4,0.008812931,3774.72,3812.86,3773.4,3807.75
2013/10/7,-0.009862671,3776.64,3800.08,3769.75,3770.38
2013/10/8,-0.020241247,3772.22,3772.49,3694.14,3694.83
2013/10/9,-0.004625236,3701.62,3702.15,3650.03,3677.78
2013/10/10,0.022309096,3721.58,3764.72,3721.11,3760.75
2013/10/11,0.008240896,3753.22,3794.37,3751.38,3791.87
2013/10/14,0.006154755,3767.49,3816.41,3766.28,3815.28
2013/10/15,-0.005590549,3810.72,3824.44,3789.68,3794.01
2013/10/16,0.011900411,3815,3840.48,3814.15,3839.43
2013/10/17,0.006158995,3822.85,3863.49,3821.43,3863.15
2013/10/18,0.013148492,3893.36,3914.93,3882.06,3914.28
2013/10/21,0.001473004,3922.65,3931.45,3909.91,3920.05
2013/10/22,0.002425596,3935.54,3947.67,3904.06,3929.57
2013/10/23,-0.005742273,3907.3,3911.64,3887.66,3907.07
2013/10/24,0.005587027,3911.61,3932.6,3907.54,3928.96
2013/10/25,0.003658392,3955.98,3961.1,3927.5,3943.36
2013/10/28,-0.000819434,3942.56,3947.58,3927.09,3940.13
2013/10/29,0.003094091,3954.34,3957.12,3934.94,3952.34
2013/10/30,-0.005510634,3962.4,3966.71,3919.14,3930.62
