date,close,open,high,low,vol,return
2016/2/11,8752.87,8887.89,8899.57,8699.29,153.64,-0.0293
2016/2/12,8967.51,8854.4,8967.51,8815.77,160.47,0.0245
2016/2/15,9206.84,9163.54,9249.46,9134.76,127.18,0.0267
2016/2/16,9135.11,9242.75,9269.06,9079.19,106.01,-0.0078
2016/2/17,9377.21,9174.28,9394.62,9156.14,128.61,0.0265
2016/2/18,9463.64,9428.01,9551.87,9349.95,123.8,0.0092
2016/2/19,9388.05,9420.51,9474.02,9319.1,109.84,-0.008
2016/2/22,9573.59,9481.37,9581.45,9477.69,93.88,0.0198
2016/2/23,9416.77,9503.12,9535.12,9405.22,89.94,-0.0164
2016/2/24,9167.8,9396.48,9415.33,9125.19,102.28,-0.0264
2016/2/25,9331.48,9277.02,9391.31,9199.09,98.94,0.0179
2016/2/26,9513.3,9454.52,9576.88,9436.33,98.62,0.0195
2016/2/29,9495.4,9424.93,9498.57,9332.42,93.79,-0.0019
2016/3/1,9717.16,9482.66,9719.02,9471.09,99.54,0.0234
2016/3/2,9776.62,9780.84,9837.11,9695.98,106.45,0.0061
2016/3/3,9751.92,9807.06,9808.52,9709.68,85.25,-0.0025
2016/3/4,9824.17,9800.86,9899.11,9742.76,93.45,0.0074
2016/3/7,9778.93,9764.08,9803.73,9690,78.15,-0.0046
2016/3/8,9692.82,9688.47,9785.05,9617.69,95.75,-0.0088
2016/3/9,9723.09,9700.16,9838.95,9679.19,100.9,0.0031
2016/3/10,9498.15,9697.64,9995.84,9498.15,177.5,-0.0231
2016/3/11,9831.13,9672.05,9833.9,9642.79,118.96,0.0351
2016/3/14,9990.26,9948.21,10039.61,9936.06,91.44,0.0162
2016/3/15,9933.85,9941.46,9973.58,9890.12,77.98,-0.0056
2016/3/16,9983.41,9971.04,10021.7,9917.92,93.64,0.005
2016/3/17,9892.2,10051.69,10055.29,9753.04,114.65,-0.0091
2016/3/18,9950.8,9905.67,9961.48,9822.52,209.13,0.0059
2016/3/21,9948.64,9893.26,10095.46,9863.83,78.95,-0.0002
2016/3/22,9990,9836.28,9990,9762.57,81.63,0.0042
2016/3/23,10022.93,10046.94,10112.17,9964.63,83.25,0.0033
2016/3/24,9851.35,9974.6,9977.99,9845.37,73.41,-0.0171
2016/3/29,9887.94,9900.88,9947.03,9808.48,67.56,0.0037
2016/3/30,10046.61,9951.68,10097.7,9947.26,89.49,0.016
2016/3/31,9965.51,9997.44,10021.34,9947.02,84.53,-0.0081
2016/4/1,9794.64,9833.26,9851.31,9675.5,97.64,-0.0171
2016/4/4,9822.08,9789.77,9907.05,9732.82,73.48,0.0028
2016/4/5,9563.36,9647.81,9661.3,9553.17,93.71,-0.0263
2016/4/6,9624.51,9582.46,9635.91,9505.9,92.59,0.0064
2016/4/7,9530.62,9648.55,9702.18,9484.75,83.21,-0.0098
2016/4/8,9622.26,9576.4,9675.03,9572.57,78.33,0.0096
2016/4/11,9682.99,9595.56,9751.93,9524.66,78.48,0.0063
2016/4/12,9761.47,9716.75,9770.47,9617.83,75.91,0.0081
2016/4/13,10026.1,9901.13,10026.1,9893.42,106.64,0.0271
2016/4/14,10093.65,10042.28,10098.44,10016.17,82.08,0.0067
2016/4/15,10051.57,10063.89,10070.04,10020.34,81.97,-0.0042
2016/4/18,10120.31,9933.7,10147.85,9920.9,68.56,0.0068
2016/4/19,10349.59,10170.18,10370.8,10150.67,99.46,0.0227
2016/4/20,10421.29,10312.64,10440.13,10304.14,96.32,0.0069
2016/4/21,10435.73,10456.99,10474.38,10341.97,101.41,0.0014
2016/4/22,10373.49,10377.22,10422.86,10324.83,83.53,-0.006
2016/4/25,10294.35,10379.16,10399.3,10233.42,75.16,-0.0076
2016/4/26,10259.59,10359.77,10385.23,10213.55,79.9,-0.0034
2016/4/27,10299.83,10283.1,10323.25,10220.57,99.07,0.0039
2016/4/28,10321.15,10222.11,10331.93,10125.52,93.06,0.0021
2016/4/29,10038.97,10235.47,10252.08,10038.97,112.47,-0.0273
2016/5/2,10123.27,10091.17,10153.9,10066.34,62.29,0.0084
2016/5/3,9926.77,10052.55,10061.95,9918.43,129.5,-0.0194
2016/5/4,9828.25,9925.25,9959.42,9812.73,102.91,-0.0099
2016/5/5,9851.86,9849.7,9921.37,9805.55,71.08,0.0024
2016/5/6,9869.95,9805.39,9917.63,9737,89.84,0.0018
2016/5/9,9980.49,9929.19,10068.53,9878.71,80.19,0.0112
2016/5/10,10045.44,10057.53,10106.93,9994.58,83.01,0.0065
2016/5/11,9975.32,10055.4,10055.7,9950.11,97.29,-0.007
2016/5/12,9862.12,9899.9,10078.19,9838.12,103.14,-0.0113
2016/5/13,9952.9,9794.83,9979.93,9767.94,85.1,0.0092
2016/5/17,9890.19,10016.79,10080.31,9846.91,98.58,-0.0063
2016/5/18,9943.23,9828.05,9946.27,9811.86,76.85,0.0054
2016/5/19,9795.89,9847.64,9899.86,9773.72,93.39,-0.0148
2016/5/20,9916.02,9878.49,9921.59,9852.71,78.26,0.0123
2016/5/23,9842.29,9891.38,9971.74,9811.74,76.9,-0.0074
2016/5/24,10057.31,9798.94,10077.65,9773.8,85.24,0.0218
2016/5/25,10205.21,10143.37,10233.06,10130.68,97.69,0.0147
2016/5/26,10272.71,10213.87,10286.23,10207.09,74.69,0.0066
2016/5/27,10286.31,10257.91,10298.76,10241.98,64.41,0.0013
2016/5/30,10333.23,10293.43,10338.41,10286.33,35.4,0.0046
2016/5/31,10262.74,10356.14,10365.24,10243.22,91.59,-0.0068
2016/6/1,10204.44,10242.78,10283.82,10160.24,79.53,-0.0057
2016/6/2,10208,10199.2,10241.75,10156.86,63.12,0.0003
2016/6/3,10103.26,10237.58,10282.72,10040.87,85.88,-0.0103
2016/6/6,10121.08,10105.09,10148.96,10092.86,55.12,0.0018
2016/6/7,10287.68,10196.17,10312.53,10183.19,78.49,0.0165
