Date,Open,High,Low,Close,QPLp1,QPLp2,QPLp3,QPLp4,QPLp5,QPLp6,QPLp7,QPLp8,QPLp9,QPLp10,QPLp11,QPLp12,QPLp13,QPLp14,QPLp15,QPLp16,QPLp17,QPLp18,QPLp19,QPLp20,QPLp21,QPLn1,QPLn2,QPLn3,QPLn4,QPLn5,QPLn6,QPLn7,QPLn8,QPLn9,QPLn10,QPLn11,QPLn12,QPLn13,QPLn14,QPLn15,QPLn16,QPLn17,QPLn18,QPLn19,QPLn20,QPLn21,vol,log_returns,volatility_increments,log_volumes,hurst,hurstp,hurstm
2014/2/14,16018.08,16175.55,15985.39,16154.39,16047.18826,16115.57234,16200.4802,16295.8047,16399.5507,16510.47902,16627.72874,16750.65988,16878.77432,17011.67119,17149.01953,17290.54061,17435.9958,17585.17808,17737.90579,17894.018,18053.37096,18215.83533,18381.294,18549.64033,18720.77673,15989.02454,15921.17745,15837.73343,15745.08848,15645.48271,15540.36601,15430.78378,15317.53905,15201.27481,15082.52094,14961.72341,14839.26343,14715.47079,14590.63341,14465.00449,14338.80791,14212.24255,14085.48564,13958.69556,13832.01412,13705.56845,84.06,0.007880227,-0.418795268,-0.168325262,0.466600917,0.772737269,0.430312143
2014/2/18,16153.97,16167.33,16107.04,16130.4,16183.3252,16252.28942,16337.9176,16434.05079,16538.67692,16650.5463,16768.79072,16892.76475,17021.96605,17155.99035,17294.5039,17437.22558,17583.91474,17734.36262,17888.386,18045.82259,18206.52743,18370.37007,18537.23242,18707.00692,18879.59516,16124.66805,16056.24537,15972.09346,15878.66255,15778.21176,15672.2033,15561.69143,15447.48599,15330.23541,15210.47409,15088.65176,14965.15289,14840.31005,14714.41362,14587.71891,14460.45174,14332.81266,14204.9804,14077.11469,13949.35854,13821.84017,91.25,-0.001486149,0.042788266,0.082072163,0.459050128,0.881535542,0.035762004
2014/2/19,16126.23,16225.72,16031.66,16040.56,16155.53479,16224.38058,16309.86172,16405.82983,16510.27629,16621.95357,16739.99493,16863.75607,16992.73551,17126.52966,17264.80535,17407.28194,17553.71921,17703.90873,17857.66761,18014.83385,18175.26273,18338.82401,18505.39982,18674.88278,18847.17465,16096.97836,16028.67318,15944.66578,15851.39531,15751.11703,15645.2906,15534.9685,15420.95918,15303.90995,15184.35428,15062.74116,14939.45436,14814.8259,14689.14566,14562.66852,14435.6199,14308.19999,14180.58725,14052.94112,13925.40436,13798.10496,80.56,-0.005585176,0.014619598,-0.124600744,0.399700248,0.37402802,0.735494889
2014/2/20,16044.15,16161.64,16006.59,16133.23,16073.30564,16141.80101,16226.84706,16322.32671,16426.24156,16537.35042,16654.79096,16777.92218,16906.24513,17039.35829,17176.93017,17318.68158,17464.37351,17613.79859,17766.77487,17923.14116,18082.75347,18245.48226,18411.21022,18579.83054,18751.24547,16015.04725,15947.08973,15863.50991,15770.71418,15670.94629,15565.65851,15455.89793,15342.4689,15226.01543,15107.06828,14986.07415,14863.41486,14739.42075,14614.38019,14488.5468,14362.14484,14235.37348,14108.41027,13981.41384,13854.52622,13727.87475,77.72,0.005760606,0.05044578,-0.035889624,0.395301442,0.44844838,0.63564184
2014/2/21,16135.92,16191.92,16093.8,16103.3,16165.2424,16234.12956,16319.66206,16415.68783,16520.19706,16631.94144,16750.05373,16873.88924,17002.94618,17136.82073,17275.1795,17417.7417,17564.26696,17714.54673,17868.39801,18025.65869,18186.18396,18349.84353,18516.51943,18686.10423,18858.49962,16106.65079,16038.30456,15954.24668,15860.92017,15760.58163,15654.69161,15544.30322,15430.22539,15313.10583,15193.47833,15071.79212,14948.43124,14823.7279,14697.97214,14571.419,14444.29403,14316.79757,14189.10814,14061.38531,13933.77191,13806.39603,126.58,-0.0018569,0.016283044,0.487761895,0.341604028,0.850923838,0.091989423
2014/2/24,16102.27,16300.04,16102.27,16207.14,16131.53125,16200.27476,16285.62888,16381.4544,16485.74568,16597.25704,16715.12301,16838.70027,16967.48808,17101.08344,17239.15368,17381.41858,17527.63828,17677.60465,17831.13508,17988.06781,18148.25832,18311.57659,18477.9049,18647.13605,18819.17193,16073.06182,16004.85813,15920.97554,15827.84366,15727.71436,15622.04517,15511.88699,15398.04706,15281.17173,15161.7937,15040.36126,14917.25764,14792.81436,14667.32085,14541.03163,14414.17177,14286.94118,14159.51804,14032.06156,13904.71429,13777.60404,244.58,0.006427666,-0.115389597,0.658667934,0.413317476,0.861297226,0.332062747
2014/2/25,16207.34,16254.26,16147.25,16179.66,16236.79219,16305.98425,16391.89533,16488.34613,16593.31793,16705.55691,16824.19198,16948.5756,17078.20377,17212.67086,17351.64203,17494.83524,17642.00904,17792.95397,17947.48622,18105.44295,18266.67873,18431.06268,18598.47631,18768.81172,18941.97017,16177.94124,16109.2925,16024.86257,15931.12298,15830.34032,15723.98163,15613.10464,15498.52188,15380.88393,15260.72694,15138.50213,15014.59524,14889.33994,14763.02756,14635.91428,14508.22664,14380.16586,14251.91126,14123.62311,13995.44488,13867.5052,99.47,-0.001696988,-0.00539887,-0.899686363,0.293500555,0.85934893,0.2108042
2014/2/26,16180.36,16252.35,16155.86,16198.41,16209.76316,16278.84004,16364.60811,16460.89834,16565.6954,16677.74754,16796.18512,16920.36168,17049.77406,17184.01731,17322.75714,17465.71197,17612.64078,17763.33443,17917.60943,18075.30322,18236.2706,18400.3809,18567.51584,18737.5677,18910.43789,16151.01018,16082.47572,15998.18633,15904.60279,15803.98791,15697.80626,15587.11385,15472.72184,15355.27971,15235.32274,15113.3014,14989.60078,14864.55399,14738.45188,14611.5502,14484.07512,14356.22752,14228.18642,14100.11183,13972.14697,13844.42027,93.98,0.001158191,-0.044738615,-0.056774097,0.282101421,0.483475769,0.153023723
2014/2/27,16197.7,16276.28,16159.81,16272.65,16227.13467,16296.28558,16382.14556,16478.53899,16583.44835,16695.62057,16814.18508,16938.49472,17068.04578,17202.4329,17341.32141,17484.42945,17631.51571,17782.37086,17936.81119,18094.67398,18255.81385,18420.10003,18587.41409,18757.64818,18930.70363,16168.31872,16099.71082,16015.3311,15921.64727,15820.92456,15714.62912,15603.81809,15489.30348,15371.7355,15251.64998,15129.49787,15005.66468,14880.48388,14754.24663,14627.20896,14499.59726,14371.61265,14243.43434,14115.22249,13987.12049,13859.25692,97.64,0.004572695,-0.253031447,0.038205252,0.18276511,0.62907329,-0.277322662
2014/2/28,16273.23,16398.95,16226.09,16321.71,16302.80192,16372.27528,16458.53563,16555.37854,16660.7771,16773.47238,16892.58976,17017.47905,17147.63421,17282.64798,17422.18412,17565.95947,17713.73161,17865.29019,18020.45068,18179.04958,18340.94085,18505.9931,18674.08734,18845.11524,19018.97765,16243.71172,16174.7839,16090.01071,15995.89004,15894.69765,15787.90656,15676.57881,15561.53023,15443.41402,15322.76854,15200.04683,15075.63621,14949.87169,14823.0458,14695.41574,14567.209,14438.62759,14309.85158,14181.04188,14052.34254,13923.88274,122.11,0.003010339,0.036255801,0.223635032,0.354799274,0.421809831,0.06935823
2014/3/3,16321.71,16321.71,16071.25,16168.03,16351.37002,16421.05035,16507.56768,16604.6991,16710.41165,16823.44267,16942.91491,17068.17626,17198.71917,17334.13516,17474.087,17618.29068,17766.50304,17918.51314,18074.13587,18233.20726,18395.58083,18561.12478,18729.7198,18901.25721,19075.63758,16292.10378,16222.97061,16137.94488,16043.5438,15942.04996,15834.94072,15723.28131,15607.88998,15489.42189,15368.41699,15245.32969,15120.54842,14994.40924,14867.20551,14739.19524,14610.60655,14481.64208,14352.48243,14223.28899,14094.20624,13965.36374,92.76,-0.009460288,0.159987762,-0.274906765,0.510951969,0.321427417,0.330716042
