date,close,open,high,low,vol,return
2010/11/5,11444.08 ,11435.22 ,11451.53 ,11393.52 ,211.67M,0.0008 
2010/11/8,11406.84 ,11439.54 ,11439.61 ,11362.53 ,143.99M,-0.0033 
2010/11/9,11346.75 ,11403.59 ,11421.14 ,11303.19 ,161.91M,-0.0053 
2010/11/10,11357.04 ,11342.81 ,11366.16 ,11255.02 ,164.17M,0.0009 
2010/11/11,11283.10 ,11326.69 ,11326.77 ,11231.22 ,296.66M,-0.0065 
2010/11/12,11192.58 ,11281.28 ,11283.70 ,11143.84 ,217.65M,-0.0080 
2010/11/15,11201.97 ,11194.02 ,11280.90 ,11189.10 ,155.66M,0.0008 
2010/11/16,11023.50 ,11194.70 ,11194.70 ,10978.93 ,254.57M,-0.0159 
2010/11/17,11007.88 ,11017.83 ,11042.16 ,10990.81 ,160.25M,-0.0014 
2010/11/18,11181.23 ,11010.49 ,11199.69 ,11010.34 ,171.77M,0.0157 
2010/11/19,11203.55 ,11180.77 ,11206.17 ,11119.24 ,219.40M,0.0020 
2010/11/22,11178.58 ,11201.66 ,11206.05 ,11054.53 ,152.85M,-0.0022 
2010/11/23,11036.37 ,11177.60 ,11180.17 ,10992.17 ,192.82M,-0.0127 
2010/11/24,11187.28 ,11037.35 ,11195.99 ,11037.35 ,138.28M,0.0137 
2010/11/26,11092.00 ,11183.50 ,11183.50 ,11067.17 ,68.40M,-0.0085 
2010/11/29,11052.49 ,11083.75 ,11083.82 ,10929.28 ,151.53M,-0.0036 
2010/11/30,11006.02 ,11049.72 ,11062.63 ,10942.98 ,233.77M,-0.0042 
2010/12/1,11255.78 ,11007.23 ,11276.10 ,11007.23 ,202.52M,0.0227 
2010/12/2,11362.41 ,11255.93 ,11373.80 ,11255.85 ,212.09M,0.0095 
2010/12/3,11382.09 ,11361.88 ,11388.87 ,11318.82 ,149.44M,0.0017 
2010/12/6,11362.19 ,11381.33 ,11392.08 ,11350.27 ,122.66M,-0.0017 
2010/12/7,11359.16 ,11363.85 ,11450.89 ,11354.09 ,175.72M,-0.0003 
2010/12/8,11372.48 ,11354.30 ,11389.09 ,11327.49 ,152.51M,0.0012 
2010/12/9,11370.06 ,11370.36 ,11413.35 ,11331.50 ,167.97M,-0.0002 
2010/12/10,11410.32 ,11370.44 ,11413.69 ,11357.72 ,151.82M,0.0035 
2010/12/13,11428.56 ,11406.16 ,11480.03 ,11405.33 ,151.19M,0.0016 
2010/12/14,11476.54 ,11429.24 ,11514.08 ,11428.94 ,149.86M,0.0042 
2010/12/15,11457.47 ,11475.64 ,11519.04 ,11445.67 ,189.67M,-0.0017 
2010/12/16,11499.25 ,11458.00 ,11514.84 ,11421.30 ,163.04M,0.0036 
2010/12/17,11491.91 ,11499.02 ,11503.18 ,11451.00 ,358.30M,-0.0006 
2010/12/20,11478.13 ,11491.30 ,11517.07 ,11442.68 ,125.36M,-0.0012 
2010/12/21,11533.16 ,11478.36 ,11549.12 ,11478.29 ,119.42M,0.0048 
2010/12/22,11559.49 ,11532.17 ,11566.99 ,11528.08 ,122.04M,0.0023 
2010/12/23,11573.49 ,11559.11 ,11580.84 ,11542.62 ,100.84M,0.0012 
2010/12/27,11555.03 ,11572.81 ,11573.19 ,11518.44 ,76.82M,-0.0016 
