Date,Open,High,Low,Close,QPLp1,QPLp21,QPLn1,QPLn21,vol,log_returns,volatility_increments,log_volumes,hurst,hurstp,hurstm
2013/1/23,3155.82,3161.06,3149.74,3153.67,3162.806254,3804.785662,3148.849178,2617.545575,359.68,0.003331828,0.059393085,-0.052901764,0.298801793,-0.11827225,0.608208637
2013/1/24,3125.67,3153.56,3124.45,3130.38,3132.589509,3768.435589,3118.765775,2592.538128,427.84,-0.007412451,0.25534288,0.173534547,0.159806999,-0.393384631,0.501968026
2013/1/25,3140.65,3156.2,3135.86,3149.71,3147.602671,3786.49609,3133.712686,2604.963055,409.49,0.006155982,0.252126103,-0.043836811,0.108276626,-0.196213892,0.485017612
2013/1/28,3152.17,3161.83,3144.89,3154.3,3159.148174,3800.385073,3145.20724,2614.518139,383.49,0.001456216,0.03795926,-0.065598938,0.115612686,-0.160032261,0.564799579
2013/1/29,3149.62,3156.94,3133.11,3153.66,3156.592529,3797.310688,3142.662873,2612.403082,423.35,-0.000202918,-0.0045778,0.098885715,0.042700891,-0.328811596,0.45708822
2013/1/30,3157.43,3164.06,3135.83,3142.31,3164.419818,3806.726744,3150.455621,2618.880964,439.35,-0.003605485,-0.048937553,0.037097102,0.033335892,-0.298953595,0.452366106
2013/1/31,3140.67,3154.18,3136.82,3142.13,3147.622716,3786.520202,3133.732642,2604.979644,520.15,-5.73E-05,-0.181859299,0.16882087,-0.077168086,-0.248752138,-0.009979357
2013/2/1,3162.94,3183.14,3154.91,3179.1,3169.942016,3813.369825,3155.95345,2623.451147,470.01,0.011697224,-0.81822817,-0.10136326,-0.070641113,-0.167780044,-0.020627485
2013/2/4,3161.72,3169.63,3130.57,3131.17,3168.719315,3811.898943,3154.736145,2622.439237,433.02,-0.015191401,1.402450077,-0.081970055,0.102877439,-0.186085844,0.678120455
2013/2/5,3140.9,3178.52,3136.82,3171.58,3147.853225,3786.7975,3133.962134,2605.170414,433.5,0.01282315,0.366902314,0.00110788,0.203292021,-0.116122446,0.760381875
2013/2/6,3159.38,3174.82,3157.35,3168.48,3166.374135,3809.077744,3152.401314,2620.498361,414.86,-0.000977909,0.015537967,-0.043950682,0.197985012,0.133084869,0.252413147
2013/2/7,3167.44,3170.42,3135.98,3165.13,3174.451978,3818.795209,3160.443511,2627.183602,414.27,-0.001057849,0.00107155,-0.001423179,0.191226157,0.478756151,0.207955477
2013/2/8,3178.06,3196.89,3177.18,3193.87,3185.095488,3831.599116,3171.040052,2635.992195,383.64,0.009039219,0.011365905,-0.076813322,0.249975746,0.578490222,-0.157848803
2013/2/11,3192.53,3194.01,3182.19,3192,3199.597522,3849.044739,3185.47809,2647.99411,325.43,-0.000585668,-0.286140475,-0.164557228,0.278649474,0.486806031,0.295051544
2013/2/12,3190.73,3196.92,3184.84,3186.49,3197.793537,3846.874586,3183.682066,2646.501129,404.99,-0.001727682,-1.012889654,0.218714991,0.288939984,0.19517185,0.374781425
2013/2/13,3195.34,3205.52,3187.06,3196.88,3202.413742,3852.43259,3188.281883,2650.324821,404.45,0.003255337,-0.133867416,-0.001334256,0.294654125,0.28763496,0.346434443
2013/2/14,3182.74,3202.33,3182.39,3198.66,3189.785849,3837.241515,3175.709715,2639.873948,415.06,0.000556638,0.016967604,0.025894969,0.401981897,1.071020608,-0.251750933
2013/2/15,3202.84,3206.21,3184.03,3192.03,3209.930345,3861.474897,3195.765316,2656.545579,480.04,-0.002074894,-0.223735719,0.145446346,0.368477262,0.856584895,8.37E-05
2013/2/19,3197.46,3213.6,3194.92,3213.59,3204.538435,3854.988549,3190.3972,2652.083222,407.53,0.006731614,0.229415709,-0.163754884,0.391300716,0.500122986,0.411042897
2013/2/20,3211.99,3213.25,3163.95,3164.41,3219.100601,3872.506511,3204.895105,2664.134903,459.79,-0.015422068,0.83962638,0.120655314,0.447332985,0.458155929,0.628377492
2013/2/21,3154.88,3155.19,3118.62,3131.49,3161.864173,3803.65236,3147.911254,2616.765906,441,-0.010457695,0.401382244,-0.041724988,0.393409904,0.553661396,0.377681718
2013/2/22,3149.09,3161.82,3139.55,3161.82,3156.061355,3796.671699,3142.134043,2611.963481,359.9,0.009638882,0.150417579,-0.20321866,0.189938958,0.259130119,0.181135179
2013/2/25,3180.59,3186.25,3116.25,3116.25,3187.631089,3834.649387,3173.564464,2638.090664,456.01,-0.014517455,0.155294175,0.236688524,0.073663064,-0.163688288,0.248220636
2013/2/26,3126.23,3135.57,3105.36,3129.65,3133.150749,3769.110748,3119.324538,2593.002612,430.03,0.004290821,0.044448604,-0.058659765,0.043651124,-0.256911747,0.693884304
2013/2/27,3129.72,3177.8,3127.27,3162.26,3136.648475,3773.318435,3122.806829,2595.897338,396.96,0.010365785,-0.055156304,-0.080019454,0.135044439,-0.260829649,0.504478154
2013/2/28,3161.43,3182.6,3159.72,3160.19,3168.428673,3811.549308,3154.446786,2622.198702,540.44,-0.000654809,-0.180951738,0.308548103,0.103852741,-0.206844406,0.555953467
2013/3/1,3143.54,3171.5,3129.4,3169.74,3150.499069,3789.980392,3136.596303,2607.360121,431.39,0.003017413,-0.163514684,-0.225371069,0.001133748,-0.167587364,0.097216782
2013/3/4,3159.46,3182.27,3154.79,3182.03,3166.454312,3809.174195,3152.481137,2620.564716,397.77,0.003869792,-0.348624107,-0.081138605,0.047530171,-0.30904679,0.464553979
2013/3/5,3200.38,3227.31,3200.27,3224.13,3207.4649,3858.509021,3193.31075,2654.50517,418.69,0.013143789,-0.047065502,0.05125684,0.119315891,-0.291774632,0.760768369
2013/3/6,3233.31,3233.44,3217.67,3222.37,3240.467799,3898.210775,3226.168012,2681.818444,377.54,-0.000546033,-0.194425627,-0.103454266,0.064043482,-0.24405699,0.438838356
2013/3/7,3224.5,3235.1,3221.47,3232.09,3231.638296,3887.589079,3217.377472,2674.511127,365.78,0.003011873,-0.03388911,-0.031644464,0.017441423,-0.013020711,0.18263592
2013/3/8,3245.85,3248.7,3227.89,3244.37,3253.03556,3913.329512,3238.680312,2692.219551,354.7,0.0037922,0.06057683,-0.030759698,0.062962898,-0.223009309,0.416462337
2013/3/11,3237.74,3252.87,3233.67,3252.87,3244.907606,3903.551765,3230.588226,2685.492838,346.2,0.002616497,-0.010710702,-0.024255719,0.307210403,0.311405111,0.610823413
2013/3/12,3244.85,3249.78,3229.92,3242.32,3252.033346,3912.123871,3237.682521,2691.390117,366.79,-0.003248561,-0.369933582,0.057772834,0.312985945,0.199115846,0.625782931
2013/3/13,3243.04,3251.45,3230.62,3245.12,3250.219339,3909.941661,3235.876519,2689.88884,340.77,0.000863206,-0.060007407,-0.073581714,0.299301619,0.546028791,0.047554863
2013/3/14,3253,3258.93,3250.24,3258.93,3260.201388,3921.949845,3245.814519,2698.150007,364.8,0.004246591,0.028632869,0.068141495,0.222565475,0.280015414,0.177301933
2013/3/15,3260.46,3260.62,3242.65,3249.07,3267.677903,3930.943926,3253.258041,2704.337587,872.86,-0.003030119,0.019524401,0.872425918,0.268056503,0.477723461,0.006596799
2013/3/18,3215.71,3249.37,3211.1,3237.59,3222.828837,3876.991496,3208.606888,2667.220399,352.52,-0.003539576,0.010522285,-0.906667818,0.283547459,0.687800173,-0.223761476
2013/3/19,3246.7,3252.6,3205.42,3229.1,3253.887441,3914.354307,3239.528435,2692.92457,371.62,-0.002625765,0.010193478,0.052764469,0.353058288,0.411654922,0.399892846
2013/3/20,3251.91,3257.99,3240.9,3254.19,3259.108975,3920.635696,3244.726927,2697.245923,348.77,0.007739936,0.184100589,-0.063459148,0.435725802,0.160235588,0.55202721
2013/3/21,3228.17,3237.57,3215.69,3222.6,3235.31642,3892.013781,3221.039365,2677.555151,360.38,-0.00975491,0.408354399,0.032746351,0.486841134,0.227589313,0.681855011
2013/3/22,3235.3,3247.94,3230.86,3245,3242.462204,3900.610001,3228.153616,2683.469018,354.6,0.006926863,0.177086808,-0.016168637,0.484932674,0.148105851,0.592458893
2013/3/25,3255.85,3263.63,3222.48,3235.3,3263.057697,3925.385921,3248.658224,2700.513895,380.23,-0.002993691,0.026573116,0.069785939,0.364983931,0.409044404,0.36070889
