Date,Open,High,Low,Close,Hurst
2015/8/7,5043.97,5055.56,5006.15,5043.54,0.493106178
2015/8/10,5081.72,5112.47,5081.11,5101.8,0.501784708
2015/8/11,5069.16,5089.33,5013.44,5036.79,0.504397027
2015/8/12,4994.52,5055.75,4945.79,5044.39,0.496883414
2015/8/13,5050.94,5071.46,5029.61,5033.56,0.498484996
2015/8/14,5025.92,5051.89,5012.61,5048.23,0.49216409
2015/8/17,5032.34,5092.69,5022.42,5091.7,0.472040049
2015/8/18,5082.18,5085.14,5054.97,5059.35,0.453730076
2015/8/19,5039.03,5060.93,4992.85,5019.05,0.441071067
2015/8/20,4973.49,4986.51,4877.49,4877.49,0.434236495
2015/8/21,4801.04,4856.75,4706.04,4706.04,0.43199154
2015/8/24,4351.61,4694.9,4292.14,4526.25,0.426720218
2015/8/25,4687.27,4689.54,4506.1,4506.49,0.437097166
2015/8/26,4633.51,4703.97,4530.03,4697.54,0.437126239
2015/8/27,4761.05,4818.71,4721.79,4812.71,0.43407544
2015/8/28,4792.11,4836.78,4788.38,4828.32,0.43327166
2015/8/31,4798.68,4824.61,4763.42,4776.51,0.432096065
2015/9/1,4673.61,4722.13,4614.91,4636.1,0.432637499
2015/9/2,4704.42,4749.98,4659.41,4749.98,0.438651625
2015/9/3,4763.1,4800.19,4721.91,4733.5,0.436775118
2015/9/4,4670.35,4712.67,4657.82,4683.92,0.432248582
2015/9/8,4769.72,4815.04,4754.89,4811.93,0.424808267
2015/9/9,4856.27,4862.88,4746.73,4756.53,0.430793193
2015/9/10,4749.96,4826.33,4746.52,4796.25,0.436737571
2015/9/11,4770.73,4822.34,4763.15,4822.34,0.453740906
2015/9/14,4831.98,4832,4791.08,4805.76,0.456045785
2015/9/15,4819.32,4872.35,4802.09,4860.52,0.460455791
2015/9/16,4860.44,4893.44,4848.15,4889.24,0.451235206
2015/9/17,4884.11,4960.87,4880.5,4893.95,0.455221053
2015/9/18,4828.71,4878.71,4819.09,4827.23,0.460480039
2015/9/21,4851.98,4881.46,4795.91,4828.95,0.46960653
2015/9/22,4762.29,4776.28,4716.91,4756.72,0.469812902
2015/9/23,4764.69,4780.64,4735.13,4752.74,0.464555336
2015/9/24,4717.89,4746.21,4670.12,4734.48,0.45325128
2015/9/25,4782.41,4785.22,4659.48,4686.5,0.453479721
2015/9/28,4665.06,4665.21,4529.41,4543.97,0.45191758
2015/9/29,4551.04,4596.06,4487.06,4517.32,0.439677624
2015/9/30,4574.38,4620.16,4559.18,4620.16,0.417218943
2015/10/1,4624.46,4628.23,4559.21,4627.08,0.413120872
2015/10/2,4566.13,4707.77,4552.34,4707.77,0.397432972
2015/10/5,4742.13,4785.91,4740.24,4781.26,0.393529307
2015/10/6,4767.63,4783.37,4711.79,4748.36,0.374095919
2015/10/7,4775.05,4791.15,4728.71,4791.15,0.365260703
2015/10/8,4775.06,4819.07,4737.93,4810.79,0.36420672
2015/10/9,4817.28,4841.38,4804.59,4830.47,0.381159987
2015/10/12,4839.79,4846.74,4818.16,4838.64,0.38112832
2015/10/13,4809.24,4858.28,4793.92,4796.61,0.37534906
2015/10/14,4801.35,4820.09,4771.62,4782.85,0.380662066
2015/10/15,4799.43,4870.1,4795.29,4870.1,0.418467507
2015/10/16,4872.36,4886.95,4851.28,4886.69,0.428322979
2015/10/19,4873.54,4915.49,4865.83,4905.47,0.427094961
2015/10/20,4900.02,4909.37,4866.6,4880.97,0.408490761
2015/10/21,4903.98,4904.85,4836.46,4840.12,0.40655198
2015/10/22,4875.96,4926.99,4861.8,4920.05,0.407086822
2015/10/23,5024.38,5048.55,4999.54,5031.86,0.423200533
2015/10/26,5030.8,5045.16,5012.74,5034.7,0.430553468
